HORA,ESTRATEGIA,ACTIVO,RUTA,SPREAD_RAW,PNL_EST,ETAPA,ESTADO,DETALLE
09:14:18.263,TEST_STRAT,BTC,Bin->Bybit,5,0000%,0,0000,RADAR,CANDIDATO,Prueba 1
09:14:18.281,TEST_STRAT,ETH,Mexc->Kucoin,10,0000%,-0,5000,FINANCIERO,RECHAZADO,Fees altos
09:14:18.289,STRESS_STRAT,COIN3,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #3
09:14:18.289,STRESS_STRAT,COIN2,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #2
09:14:18.289,STRESS_STRAT,COIN0,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #0
09:14:18.289,STRESS_STRAT,COIN1,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #1
09:14:18.290,STRESS_STRAT,COIN5,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #5
09:14:18.290,STRESS_STRAT,COIN6,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #6
09:14:18.290,STRESS_STRAT,COIN4,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #4
09:14:18.291,STRESS_STRAT,COIN7,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #7
09:14:18.291,STRESS_STRAT,COIN8,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #8
09:14:18.291,STRESS_STRAT,COIN9,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #9
09:14:18.291,STRESS_STRAT,COIN12,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #12
09:14:18.291,STRESS_STRAT,COIN10,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #10
09:14:18.291,STRESS_STRAT,COIN14,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #14
09:14:18.291,STRESS_STRAT,COIN15,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #15
09:14:18.292,STRESS_STRAT,COIN18,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #18
09:14:18.291,STRESS_STRAT,COIN13,ExA->ExB,0,5000%,1,5000,EJECUCION,DISPARANDO,Hilo Virtual #13
